,Country,Basel_Convention,CITES,Convention_On_Biological_Diversity,Convention_On_Migratory_Species,Kyoto_Protocol,Montreal_Protocol,Paris_Agreement,Ramsar_Convention,Rotterdam_Convention,Stockholm_Convention,UN_Convention_on_the_Law_of_the_Sea,UN_Convention_to_Combat_Desertification,UN_Framework_Convention_on_Climate_Change,World_Heritage_Convention
133,Philippines,1-5 Year Adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
134,Poland,Original Adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter
135,Portugal,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,6-10 year adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,6-10 year adopter
136,Qatar,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,6-10 year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
137,Republic of Korea,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
138,Republic of Moldova,6-10 year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,6-10 year adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
139,Romania,Original Adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
140,Russian Federation,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,Original Adopter,Non-adopter,1-5 Year Adopter,6-10 year adopter,6-10 year adopter,11+ year adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter
141,Rwanda,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,11+ year adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,Non-adopter,1-5 Year Adopter,6-10 year adopter,11+ year adopter
142,Saint Kitts and Nevis,1-5 Year Adopter,11+ year adopter,Original Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,Non-adopter,6-10 year adopter,Original Adopter,11+ year adopter,Non-adopter,1-5 Year Adopter,11+ year adopter
143,Saint Lucia,1-5 Year Adopter,6-10 year adopter,Original Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,11+ year adopter
144,Saint Vincent and the Grenadines,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,6-10 year adopter,Original Adopter,Non-adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter,Non-adopter,1-5 Year Adopter,11+ year adopter
145,Samoa,6-10 year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
146,San Marino,Non-adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,11+ year adopter,Non-adopter,Non-adopter,Non-adopter,Non-adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
147,Sao Tome and Principe,11+ year adopter,11+ year adopter,6-10 year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,11+ year adopter,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter,11+ year adopter
148,Saudi Arabia,Original Adopter,11+ year adopter,6-10 year adopter,6-10 year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,Non-adopter,Original Adopter,6-10 year adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter
149,Senegal,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter
150,Serbia,6-10 year adopter,11+ year adopter,6-10 year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,11+ year adopter,6-10 year adopter,11+ year adopter
151,Seychelles,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Non-adopter,1-5 Year Adopter,6-10 year adopter,1-5 Year Adopter,Original Adopter,6-10 year adopter
152,Sierra Leone,11+ year adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,11+ year adopter,11+ year adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
153,Singapore,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,Original Adopter,Original Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
154,Slovakia,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter
155,Slovenia,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
156,Solomon Islands,Non-adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Original Adopter,Non-adopter,Non-adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
157,Somalia,11+ year adopter,6-10 year adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,Non-adopter,6-10 year adopter,6-10 year adopter,6-10 year adopter,6-10 year adopter,11+ year adopter,Non-adopter
158,South Africa,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,6-10 year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
159,South Sudan,Non-adopter,Non-adopter,11+ year adopter,Non-adopter,Non-adopter,11+ year adopter,Non-adopter,11+ year adopter,Non-adopter,Non-adopter,Non-adopter,11+ year adopter,11+ year adopter,11+ year adopter
160,Spain,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,6-10 year adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,6-10 year adopter
161,Sri Lanka,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter
162,State of Palestine,11+ year adopter,Non-adopter,11+ year adopter,Non-adopter,Non-adopter,Non-adopter,Original Adopter,Non-adopter,Non-adopter,Non-adopter,11+ year adopter,Non-adopter,11+ year adopter,11+ year adopter
163,Sudan,11+ year adopter,6-10 year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter
164,Suriname,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,6-10 year adopter,Non-adopter,6-10 year adopter,Original Adopter,6-10 year adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
165,Swaziland,11+ year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
166,Sweden,Original Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
167,Switzerland,Original Adopter,Original Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter
168,Syrian Arab Republic,Original Adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter
169,Tajikistan,11+ year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter,Non-adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,6-10 year adopter,11+ year adopter
170,Thailand,1-5 Year Adopter,6-10 year adopter,11+ year adopter,Non-adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
171,The former Yugoslav Republic of Macedonia,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Non-adopter,11+ year adopter,6-10 year adopter,Original Adopter,11+ year adopter,6-10 year adopter,6-10 year adopter,11+ year adopter
172,Timor-Leste,Non-adopter,Non-adopter,11+ year adopter,Non-adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Non-adopter,Non-adopter,11+ year adopter,6-10 year adopter,11+ year adopter,11+ year adopter
173,Togo,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
174,Tonga,11+ year adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,6-10 year adopter,Original Adopter,Non-adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,6-10 year adopter,11+ year adopter
175,Trinidad and Tobago,1-5 Year Adopter,6-10 year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,Original Adopter,Non-adopter,11+ year adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
176,Tunisia,1-5 Year Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,6-10 year adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter
177,Turkey,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,11+ year adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,11+ year adopter,11+ year adopter
178,Turkmenistan,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Non-adopter,Non-adopter,Non-adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
179,Tuvalu,Non-adopter,Non-adopter,6-10 year adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Original Adopter,Non-adopter,Non-adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter
180,Uganda,6-10 year adopter,11+ year adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,Original Adopter,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
181,Ukraine,6-10 year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,11+ year adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter
182,United Arab Emirates,Original Adopter,11+ year adopter,6-10 year adopter,11+ year adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
183,United Kingdom of Great Britain and Northern Ireland,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
184,United Republic of Tanzania,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Non-adopter,11+ year adopter,Original Adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter
185,United States of America,Non-adopter,Original Adopter,Non-adopter,Non-adopter,Non-adopter,Original Adopter,Original Adopter,11+ year adopter,Non-adopter,Non-adopter,Non-adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter
186,Uruguay,Original Adopter,Original Adopter,1-5 Year Adopter,6-10 year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,6-10 year adopter,Original Adopter,Original Adopter,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
187,Uzbekistan,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Non-adopter,11+ year adopter,Non-adopter,Non-adopter,Non-adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
188,Vanuatu,Non-adopter,11+ year adopter,Original Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Original Adopter,Non-adopter,Non-adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
189,Venezuela (Bolivarian Republic of),6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,Original Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
190,Viet Nam,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,Original Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
191,Yemen,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,6-10 year adopter,Non-adopter,11+ year adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter
192,Zambia,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
193,Zimbabwe,11+ year adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,6-10 year adopter,6-10 year adopter,11+ year adopter,1-5 Year Adopter,Original Adopter,6-10 year adopter
