,Country,Basel_Convention,CITES,Convention_On_Biological_Diversity,Convention_On_Migratory_Species,Kyoto_Protocol,Montreal_Protocol,Paris_Agreement,Ramsar_Convention,Rotterdam_Convention,Stockholm_Convention,UN_Convention_on_the_Law_of_the_Sea,UN_Convention_to_Combat_Desertification,UN_Framework_Convention_on_Climate_Change,World_Heritage_Convention
55,Eritrea,11+ year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,11+ year adopter,Non-adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
56,Estonia,Original Adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,6-10 year adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter
57,Ethiopia,6-10 year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,Original Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter
58,Fiji,Non-adopter,11+ year adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,Non-adopter,Original Adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
59,Finland,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
60,France,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter
61,Gabon,11+ year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,6-10 year adopter,11+ year adopter
62,Gambia,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
63,Georgia,6-10 year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
64,Germany,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter
65,Ghana,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter
66,Greece,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter
67,Grenada,Non-adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Non-adopter,Non-adopter,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
68,Guatemala,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,Original Adopter,1-5 Year Adopter,11+ year adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter
69,Guinea,1-5 Year Adopter,6-10 year adopter,Original Adopter,6-10 year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter
70,Guinea-Bissau,11+ year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,11+ year adopter,Non-adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
71,Guyana,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Original Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter
72,Haiti,Original Adopter,Non-adopter,1-5 Year Adopter,Non-adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Non-adopter,Non-adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,6-10 year adopter
